Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",154.000000,-72.000000,0.000000,top
"C2","0.1uF","C_0805_2012Metric",154.000000,-87.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",154.000000,-69.500000,180.000000,top
"J1","Conn_01x10","PinSocket_1x10_P2.54mm_Horizontal",138.437442,-75.405607,0.000000,top
"J2","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",142.240000,-75.443000,0.000000,top
"R1","2K","R_0805_2012Metric",149.500000,-69.500000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",142.240000,-70.104000,180.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",142.240000,-103.632000,0.000000,top
"U1","25LCxxx","WSON-5x6",154.000000,-78.750000,90.000000,top
"U2","25LCxxx","WSON8-6x8",153.750000,-95.000000,90.000000,top
