Ref,Val,Package,PosX,PosY,Rot,Side
C1,4.7uF,C_0805_2012Metric,153.75,-77.25,-90,top
C2,4.7uF,C_0805_2012Metric,153.75,-96.5,-90,top
C3,4.7uF,C_0805_2012Metric,150.25,-83,-90,top
C4,4.7uF,C_0805_2012Metric,153.75,-70.5,-90,top
C5,4.7uF,C_0805_2012Metric,153.75,-102.75,-90,top
C6,100uF,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,148.25,-76.25,90,top
C7,0.1uF,C_0805_2012Metric,140,-102.75,-90,top
C8,0.1uF,C_0805_2012Metric,146.5,-102.75,90,top
D1,LED,LED_0805_2012Metric,144.018,-70.125,180,top
D3,TSAL6100,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRGrey,152.623,-86.125,90,top
D4,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRGrey,152.623,-91.415,90,top
D9,1N4148WS,D_SOD-323F,148,-96.75,-90,top
D10,1N4148WS,D_SOD-323F,145.75,-96.75,90,top
J1,Conn_01x10,PinSocket_1x10_P2.54mm_Horizontal,138.437442,-76.030607,0,top
J3,Conn_02x03_1.27mm,PinHeader_2x03_P1.27mm_Vertical,145.375,-86.225,0,top
Q3,MMBT4401LT1G,SOT-23,148.44,-92,-90,top
R1,100R,R_0805_2012Metric,151.5,-77.25,-90,top
R2,10K,R_0805_2012Metric,153,-80.25,180,top
R3,330R,R_0805_2012Metric,146.5,-99.75,180,top
R4,100R,R_0805_2012Metric,151.5,-96.5,-90,top
R5,10K,R_0805_2012Metric,153,-99.75,180,top
R6,1R2,R_1206_3216Metric,147.75,-82.25,90,top
R7,100R,R_0805_2012Metric,151.5,-102.75,-90,top
R8,100R,R_0805_2012Metric,151.5,-70.5,-90,top
R9,10K,R_0805_2012Metric,153,-73.5,180,top
R10,2K,R_0805_2012Metric,140.208,-70.125,0,top
R11,3R0,R_1206_3216Metric,145.25,-82.25,90,top
R12,20K,R_0805_2012Metric,149.25,-102.75,90,top
R13,6R8,R_1206_3216Metric,145.25,-92.5,-90,top
U1,OS1200MW-A1,TSOP18XX,156.994399,-71.7598,90,top
U2,IRM-3638J7,TSOP18XX,156.994399,-78.6178,90,top
U3,IRM-3638T,TSOP18XX,156.9734,-96.4988,90,top
U4,CHQ0038L-56kHz,TSOP18XX,156.9734,-103.2488,90,top
U5,AiP74LVC1T45GC363.TR,SOT-363_SC-70-6,143.25,-102.75,180,top
