Source:,C:\buspirate5-hardware\bp5-ir-toy-v3-rev3\bp5-ir-toy-v3-rev3.kicad_sch,,,
Date:,2024-08-13T16:58:07+0200,,,
Tool:,Eeschema 8.0.3,,,
Generator:,C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,
Component Count:,34,,,
,,,,
Collated Components:,,,,
,,,,
Item,Qty,Reference(s),Value,Footprint
1,5,"C1, C2, C3, C4, C5",4.7uF,Capacitor_SMD:C_0805_2012Metric
2,1,C6,100uF,Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder
3,2,"C7, C8",0.1uF,Capacitor_SMD:C_0805_2012Metric
4,1,D1,LED,LED_SMD:LED_0805_2012Metric
5,1,D3,TSAL6100,LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRGrey
6,1,D4,TSAL6200,LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRGrey
7,2,"D9, D10",1N4148WS,Diode_SMD:D_SOD-323F
8,1,J1,Conn_01x10,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal
9,1,J3,Conn_02x03_1.27mm,Connector_PinHeader_1.27mm:PinHeader_2x03_P1.27mm_Vertical
10,1,Q3,MMBT4401LT1G,Package_TO_SOT_SMD:SOT-23
11,4,"R1, R4, R7, R8",100R,Resistor_SMD:R_0805_2012Metric
12,3,"R2, R5, R9",10K,Resistor_SMD:R_0805_2012Metric
13,1,R3,330R,Resistor_SMD:R_0805_2012Metric
14,1,R6,1R2,Resistor_SMD:R_1206_3216Metric
15,1,R10,2K,Resistor_SMD:R_0805_2012Metric
16,1,R11,3R0,Resistor_SMD:R_1206_3216Metric
17,1,R12,20K,Resistor_SMD:R_0805_2012Metric
18,1,R13,6R8,Resistor_SMD:R_1206_3216Metric
19,1,U1,OS1200MW-A1,Library:TSOP18XX
20,1,U2,IRM-3638J7,Library:TSOP18XX
21,1,U3,IRM-3638T,Library:TSOP18XX
22,1,U4,CHQ0038L-56kHz,Library:TSOP18XX
23,1,U5,AiP74LVC1T45GC363.TR,Package_TO_SOT_SMD:SOT-363_SC-70-6
