Ref,Val,Package,PosX,PosY,Rot,Side
"J1","5145300-3","TE_5145300-3",123.526000,-100.368000,-90.000000,bottom
"D1","LED","LED_0805_2012Metric",102.000000,-125.660000,90.000000,top
"D2","LED","LED_0805_2012Metric",101.750000,-75.000000,-90.000000,top
"J2","Conn_01x10","PinSocket_1x10_P2.54mm_Horizontal",101.428000,-86.360000,0.000000,top
"J3","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",105.156000,-86.360000,0.000000,top
"R1","2K","R_0805_2012Metric",102.000000,-113.750000,-90.000000,top
"R2","2K","R_0805_2012Metric",101.750000,-82.250000,90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",110.000000,-73.475000,180.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",110.000000,-127.250000,0.000000,top
"U1","SIM 6P","DGLZ-SIM-0004",129.724000,-120.976000,0.000000,top
"U2","SIM 8P","SIM-0030",132.250000,-99.500000,90.000000,top
"U3","SIM 6P","SIM-0036",128.250000,-78.000000,180.000000,top
