Ref,Val,Package,PosX,PosY,Rot,Side
"J1","5145300-3","TE_5145300-3",123.526000,-100.368000,-90.000000,bottom
"D1","LED","LED_0805_2012Metric",102.000000,-134.660000,90.000000,top
"D2","LED","LED_0805_2012Metric",101.750000,-66.025000,-90.000000,top
"J2","Conn_01x10","PinSocket_1x10_P2.54mm_Horizontal",101.400000,-88.800000,0.000000,top
"R1","2K","R_0805_2012Metric",102.000000,-125.500000,-90.000000,top
"R2","2K","R_0805_2012Metric",101.750000,-73.275000,90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",110.000000,-64.500000,180.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",110.000000,-136.250000,0.000000,top
"U1","SIM 6P","DGLZ-SIM-0004",131.750000,-123.000000,90.000000,top
"U2","SIM 8P","SIM-0030",132.250000,-102.500000,90.000000,top
"U3","SIM 6P","SIM-0036",133.000000,-86.250000,90.000000,top
