Ref,Val,Package,PosX,PosY,Rot,Side
C13,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.059864,-77.5,-90,top
C14,10uF/16V/CASE-A,CP_EIA-3216-18_Kemet-A,147.102685,-77.137256,-90,top
C15,47uF/25V/CASE-D,CP_EIA-7343-31_Kemet-D,150,-91,180,top
D1,LED,LED_0805_2012Metric,145.5,-70.5,180,top
D2,BAT54W,SOT-23,152.45,-84.5,-90,top
D3,18V,D_SOD-123,156,-96.5,-90,top
D4,4.7V,D_SOD-123,147.65,-85,180,top
J1,Conn_01x10,PinSocket_1x10_P2.54mm_Horizontal,138.4,-75.55,0,top
J4,Conn_01x08,PinHeader_1x08_P2.54mm_Horizontal,161.875,-78.125,0,top
L1,680uH,L_YP0504,151.249999,-79.5,90,top
Q1,MMBT3906,SOT-23,153,-97.5625,90,top
Q2,MMBT3904,SOT-23,153,-101.5,0,top
Q3,MMBT3904,SOT-23,148.5,-97.5,90,top
Q4,MMBT3904,SOT-23,146.250028,-81.182666,0,top
R1,2K,R_0805_2012Metric,141.75,-70.5,0,top
R22,10K,R_0805_2012Metric,151.5,-87.5,180,top
R23,100K,R_0805_2012Metric,153,-94.5,0,top
R24,2K,R_0805_2012Metric,147.5,-87.5,180,top
R25,10K,R_0805_2012Metric,149.5,-94.5,0,top
R27,10K,R_0805_2012Metric,146,-100.5,180,top
R28,100R,R_0805_2012Metric,156,-100.9125,90,top
R29,10K,R_0805_2012Metric,149.9125,-101.4125,-90,top
