Ref,Val,Package,PosX,PosY,Rot,Side
"J301","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",18.820000,12.880000,-90.000000,bottom
"LCD201","TFT_20_QT200H1201","TFT_20_QT200H1201",30.250000,35.000000,-90.000000,bottom
"SW102","4P_button_sw","GT-TC026X-HXXX-LX",30.250000,58.100000,90.000000,bottom
"logo1","fcc_logo","logo_fcc",18.000000,56.900000,180.000000,bottom
"C103","0.1uF","C_0402_1005Metric",22.200000,48.180000,90.000000,top
"C104","2.2uF","C_0402_1005Metric",23.250000,48.180000,90.000000,top
"C105","15pF","C_0402_1005Metric",39.070000,35.080000,0.000000,top
"C106","15pF","C_0402_1005Metric",38.800000,39.400000,0.000000,top
"C107","2.2uF","C_0402_1005Metric",29.030000,49.880000,90.000000,top
"C108","2.2uF","C_0402_1005Metric",30.030000,49.880000,-90.000000,top
"C109","2.2uF","C_0402_1005Metric",31.030000,49.880000,90.000000,top
"C110","0.1uF","C_0402_1005Metric",26.230000,48.180000,90.000000,top
"C111","0.1uF","C_0402_1005Metric",33.050000,49.880000,90.000000,top
"C112","0.1uF","C_0402_1005Metric",37.100000,46.200000,0.000000,top
"C113","0.1uF","C_0402_1005Metric",39.875000,41.850000,0.000000,top
"C114","0.1uF","C_0402_1005Metric",26.400000,38.370000,-90.000000,top
"C115","0.1uF","C_0402_1005Metric",23.450000,41.600000,90.000000,top
"C116","0.1uF","C_0402_1005Metric",27.230000,48.180000,90.000000,top
"C117","0.1uF","C_0402_1005Metric",25.230000,48.180000,90.000000,top
"C118","0.1uF","C_0402_1005Metric",39.850000,42.875000,0.000000,top
"C121","0.1uF","C_0402_1005Metric",43.150000,35.300000,0.000000,top
"C201","4.7uF","C_0402_1005Metric",38.700000,56.000000,-90.000000,top
"C202","4.7uF","C_0402_1005Metric",37.300000,56.000000,-90.000000,top
"C301","0.1uF","C_0402_1005Metric",7.380000,24.750000,-90.000000,top
"C302","0.1uF","C_0402_1005Metric",10.530000,24.750000,-90.000000,top
"C303","0.1uF","C_0402_1005Metric",13.580000,24.650000,-90.000000,top
"C304","0.1uF","C_0402_1005Metric",7.380000,19.400000,-90.000000,top
"C305","0.1uF","C_0402_1005Metric",10.530000,19.400000,-90.000000,top
"C306","0.1uF","C_0402_1005Metric",13.580000,19.300000,-90.000000,top
"C307","0.1uF","C_0402_1005Metric",16.550000,24.800000,-90.000000,top
"C308","0.1uF","C_0402_1005Metric",45.880000,24.800000,-90.000000,top
"C309","0.1uF","C_0402_1005Metric",48.780000,24.850000,-90.000000,top
"C310","0.1uF","C_0402_1005Metric",15.350000,19.750000,180.000000,top
"C311","0.1uF","C_0402_1005Metric",45.350000,19.200000,180.000000,top
"C312","0.1uF","C_0402_1005Metric",48.350000,19.200000,180.000000,top
"C313","0.1uF","C_0402_1005Metric",51.755000,24.875000,-90.000000,top
"C314","0.1uF","C_0402_1005Metric",54.730000,24.850000,-90.000000,top
"C315","0.1uF","C_0402_1005Metric",50.950000,19.200000,180.000000,top
"C316","0.1uF","C_0402_1005Metric",54.050000,19.200000,180.000000,top
"C401","4.7uF","C_0402_1005Metric",46.550000,59.050000,-90.000000,top
"C402","4.7uF","C_0402_1005Metric",46.550000,57.000000,90.000000,top
