Ref,Val,Package,PosX,PosY,Rot,Side
"J301","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",18.820000,12.880000,-90.000000,bottom
"LCD201","TFT_20_QT200H1201","TFT_20_QT200H1201",30.250000,35.000000,-90.000000,bottom
"SW102","TS3315A 250gf 025","GT-TC026X-HXXX-LX",30.250000,58.100000,90.000000,bottom
"logo1","fcc_logo","logo_fcc",18.000000,56.900000,180.000000,bottom
"C1","0.1uF","C_0402_1005Metric",32.850000,44.850000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",24.100000,36.700000,180.000000,top
"C3","0.1uF","C_0402_1005Metric",27.850000,25.850000,-90.000000,top
"C4","10uF/6.3v CL05A106MQ5NUN","C_0402_1005Metric",36.100000,44.850000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",16.600000,48.350000,90.000000,top
"C6","10uF","C_0805_2012Metric",14.850000,48.600000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",39.100000,32.350000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",27.100000,29.850000,-135.000000,top
"C9","0.1uF","C_0402_1005Metric",27.850000,23.850000,90.000000,top
"C10","10uF/6.3v CL05A106MQ5NUN","C_0402_1005Metric",37.850000,50.600000,-90.000000,top
"C11","10uF/6.3v CL05A106MQ5NUN","C_0402_1005Metric",43.350000,50.600000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",16.600000,43.350000,90.000000,top
"C13","10uF","C_0805_2012Metric",14.850000,44.100000,90.000000,top
"C14","0.1uF","C_0402_1005Metric",54.350000,13.850000,180.000000,top
"C15","0.1uF","C_0402_1005Metric",54.350000,15.100000,180.000000,top
"C16","0.1uF","C_0402_1005Metric",6.350000,14.600000,0.000000,top
"C17","0.1uF","C_0402_1005Metric",6.350000,13.500000,0.000000,top
"C18","0.1uF","C_0402_1005Metric",28.850000,55.600000,180.000000,top
"C19","10uF/6.3v CL05A106MQ5NUN","C_0402_1005Metric",31.350000,54.100000,0.000000,top
"C20","0.1uF","C_0402_1005Metric",48.100000,41.850000,180.000000,top
"C21","10uF/6.3v CL05A106MQ5NUN","C_0402_1005Metric",46.850000,51.350000,180.000000,top
"C22","0.1uF","C_0402_1005Metric",51.100000,45.850000,0.000000,top
"C103","0.1uF","C_0402_1005Metric",31.350000,52.850000,0.000000,top
"C104","10uF/6.3v CL05A106MQ5NUN","C_0402_1005Metric",33.850000,50.600000,-90.000000,top
"C105","15pF","C_0402_1005Metric",31.100000,29.850000,-90.000000,top
"C106","15pF","C_0402_1005Metric",33.350000,29.850000,90.000000,top
"C109","10uF/6.3v CL05A106MQ5NUN","C_0402_1005Metric",39.100000,41.600000,0.000000,top
"C110","0.1uF","C_0402_1005Metric",24.150000,33.600000,-135.000000,top
"C111","0.1uF","C_0402_1005Metric",39.100000,37.100000,0.000000,top
"C112","0.1uF","C_0402_1005Metric",39.100000,42.600000,0.000000,top
"C113","0.1uF","C_0402_1005Metric",27.600000,44.300000,180.000000,top
"C114","0.1uF","C_0402_1005Metric",31.850000,44.850000,90.000000,top
"C115","0.1uF","C_0402_1005Metric",30.100000,29.850000,-90.000000,top
"C116","0.1uF","C_0402_1005Metric",24.100000,39.300000,180.000000,top
