Ref,Val,Package,PosX,PosY,Rot,Side
J301,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,18.82,12.88,-90,bottom
LCD201,TFT_20_QT200H1201,TFT_20_QT200H1201,30.25,35,-90,bottom
SW102,TS3315A 250gf 025,GT-TC026X-HXXX-LX,30.25,58.1,90,bottom
logo1,fcc_logo,logo_fcc,18,56.9,180,bottom
C1,0.1uF,C_0402_1005Metric,32.85,44.85,90,top
C2,0.1uF,C_0402_1005Metric,24.1,36.7,180,top
C3,0.1uF,C_0402_1005Metric,27.6,24.85,135,top
C4,10uF/6.3V,C_0402_1005Metric,36.1,44.85,90,top
C5,0.1uF,C_0402_1005Metric,18.95,44.7,180,top
C6,10uF/6.3V,C_0402_1005Metric,42.1,42.35,-90,top
C7,0.1uF,C_0402_1005Metric,38.85,33.35,0,top
C8,0.1uF,C_0402_1005Metric,27.1,29.85,-135,top
C9,0.1uF,C_0402_1005Metric,26.6,23.85,-45,top
C10,10uF/6.3V,C_0402_1005Metric,37.6,49.6,-90,top
C11,10uF/6.3V,C_0402_1005Metric,40.236393,48.935658,180,top
C12,120pF,C_0402_1005Metric,42.6,50.6,90,top
C14,0.1uF,C_0402_1005Metric,54.35,13.85,180,top
C15,0.1uF,C_0402_1005Metric,54.35,15.1,180,top
C16,0.1uF,C_0402_1005Metric,6.35,14.6,0,top
C17,0.1uF,C_0402_1005Metric,6.35,13.5,0,top
C18,10uF/6.3V,C_0402_1005Metric,43.1,40.6,0,top
C19,10uF/6.3V,C_0402_1005Metric,29.6,53.6,-90,top
C20,0.1uF,C_0402_1005Metric,50.6,45.1,180,top
C22,0.1uF,C_0402_1005Metric,51.85,50.6,-90,top
C23,10uF/6.3V,C_0402_1005Metric,37.35,18.6,180,top
C24,10uF/6.3V,C_0402_1005Metric,35.75,53.6,-90,top
C29,10uF/6.3V,C_0402_1005Metric,25.6,18.6,180,top
C36,10uF/6.3V,C_0402_1005Metric,48.1,50.6,90,top
C104,10uF/6.3V,C_0402_1005Metric,32.85,50.4,-90,top
C105,15pF,C_0402_1005Metric,31.1,29.85,-90,top
C106,15pF,C_0402_1005Metric,33.35,29.85,90,top
C109,10uF/6.3V,C_0402_1005Metric,39.6,42.35,90,top
C110,0.1uF,C_0402_1005Metric,24.15,33.6,-135,top
C111,0.1uF,C_0402_1005Metric,38.85,37.1,0,top
C112,0.1uF,C_0402_1005Metric,38.35,42.35,90,top
C113,0.1uF,C_0402_1005Metric,27.6,44.3,180,top
C114,0.1uF,C_0402_1005Metric,31.85,44.85,90,top
C115,0.1uF,C_0402_1005Metric,30.1,29.85,-90,top
C116,0.1uF,C_0402_1005Metric,24.1,39.2,180,top
C117,0.1uF,C_0402_1005Metric,34.35,29.85,-90,top
C118,0.1uF,C_0402_1005Metric,38.85,38.1,0,top
C201,10uF/6.3V,C_0402_1005Metric,37.35,58.1,-90,top
C202,10uF/6.3V,C_0402_1005Metric,36.1,58.1,-90,top
C301,0.1uF,C_0402_1005Metric,6.1,38.35,0,top
C302,0.1uF,C_0402_1005Metric,9.1,38.35,0,top
C303,0.1uF,C_0402_1005Metric,12.1,38.35,0,top
C304,0.1uF,C_0402_1005Metric,6.1,33.35,180,top
C305,0.1uF,C_0402_1005Metric,9.1,33.35,180,top
C306,0.1uF,C_0402_1005Metric,12.1,33.35,180,top
C307,0.1uF,C_0402_1005Metric,15.1,38.35,0,top
C308,0.1uF,C_0402_1005Metric,6.1,28.35,0,top
C309,0.1uF,C_0402_1005Metric,9.1,28.35,0,top
C310,0.1uF,C_0402_1005Metric,15.1,33.35,180,top
C311,0.1uF,C_0402_1005Metric,6.1,23.35,180,top
C312,0.1uF,C_0402_1005Metric,9.1,23.35,180,top
C313,0.1uF,C_0402_1005Metric,12.6,28.35,0,top
C314,0.1uF,C_0402_1005Metric,15.6,28.35,0,top
C315,0.1uF,C_0402_1005Metric,12.1,23.35,180,top
C316,0.1uF,C_0402_1005Metric,15.1,23.35,180,top
C401,10uF/6.3V,C_0402_1005Metric,39.6,58.1,90,top
C402,10uF/6.3V,C_0402_1005Metric,42.35,54.85,0,top
C403,0.1uF,C_0402_1005Metric,48.85,36.85,180,top
C404,10uF/6.3V,C_0402_1005Metric,11.35,60.1,180,top
C407,10uF/6.3V,C_0402_1005Metric,11.35,54.6,180,top
C408,120pF,C_0402_1005Metric,9.1,54.6,180,top
C413,10uF/6.3V,C_0402_1005Metric,15.6,42.85,90,top
C415,0.1uF,C_0402_1005Metric,40.6,38.1,90,top
C416,0.1uF,C_0402_1005Metric,40.6,40.1,-90,top
C503,0.1uF,C_0402_1005Metric,53.6,43.6,180,top
C507,0.1uF,C_0402_1005Metric,42.6,24.6,90,top
C508,0.1uF,C_0402_1005Metric,52.35,21.85,90,top
C509,0.1uF,C_0402_1005Metric,42.6,21.85,90,top
C510,0.1uF,C_0402_1005Metric,52.35,24.6,90,top
C601,10uF/6.3V,C_0402_1005Metric,21.35,55.1,-90,top
C602,0.1uF,C_0402_1005Metric,22.6,55.1,90,top
C605,0.1uF,C_0402_1005Metric,5.85,47.85,180,top
C701,0.1uF,C_0402_1005Metric,23.6,63.1,90,top
C702,0.1uF,C_0402_1005Metric,17.85,63.1,90,top
C703,0.1uF,C_0402_1005Metric,51.1,62.85,90,top
C704,0.1uF,C_0402_1005Metric,36.1,63.1,90,top
C705,0.1uF,C_0402_1005Metric,58.25,47.2,0,top
C706,0.1uF,C_0402_1005Metric,2.35,56.1,180,top
C707,0.1uF,C_0402_1005Metric,58.35,29.6,0,top
C708,0.1uF,C_0402_1005Metric,2.3,46.4,180,top
C710,0.1uF,C_0402_1005Metric,2.25,39.5,180,top
C712,0.1uF,C_0402_1005Metric,2.25,29.85,180,top
C713,0.1uF,C_0402_1005Metric,58.35,14.1,0,top
C714,0.1uF,C_0402_1005Metric,2.25,22.9,180,top
C715,0.1uF,C_0402_1005Metric,42.6,6.85,-90,top
C716,0.1uF,C_0402_1005Metric,40.1,8.768,180,top
C717,0.1uF,C_0402_1005Metric,21.254,8.768,180,top
C718,0.1uF,C_0402_1005Metric,9.35,7.1,-90,top
C719,0.1uF,C_0402_1005Metric,58.35,30.6,0,top
C720,0.1uF,C_0402_1005Metric,56.306,43.82,-90,top
D1,BAS40-04,SOT-523,54.1,21.85,-90,top
D2,BAS40-04,SOT-523,47.1,21.85,-90,top
D3,BAS40-04,SOT-523,37.35,24.6,-90,top
D4,BAS40-04,SOT-523,44.35,24.6,-90,top
D5,BAS40-04,SOT-523,54.1,24.6,-90,top
D6,BAS40-04,SOT-523,47.1,24.6,-90,top
D7,BAS40-04,SOT-523,37.35,21.85,-90,top
D8,BAS40-04,SOT-523,44.35,21.85,-90,top
D9,BAS40-04,SOT-523,53.85,47.1,180,top
