Value,Footprint
0.1uF,Capacitor_SMD:C_0402_1005Metric
10uF/6.3V,Capacitor_SMD:C_0402_1005Metric
120pF,Capacitor_SMD:C_0402_1005Metric
10uF/6.3v,Capacitor_SMD:C_0402_1005Metric
120pF,Capacitor_SMD:C_0402_1005Metric
10uF/16v,Capacitor_SMD:C_0805_2012Metric
15pF,Capacitor_SMD:C_0402_1005Metric
BAS40-04,library:SOT-523
SMF24CA,Diode_SMD:D_SMF
SMF5.0A,Diode_SMD:D_SMF
PESD12VV1BL,Diode_SMD:D_SOD-882D
BAS40-04,Package_TO_SOT_SMD:SOT-523
1N4148WT,Diode_SMD:D_SOD-523
Conn_01x03,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical
TYPE-C-31-M-12,usb-c:HRO_TYPE-C-31-M-12
Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical
Conn_01x09,Connector_JST:JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal
CBW201209U300T,Inductor_SMD:L_0805_2012Metric
TFT_20_QT200H1201,dp-lcd:TFT_20_QT200H1201
SK6812-side-a_b,dp-LED:SK6812-side-a_b
SK6812-mini-e,dp-LED:SK6812-MINI-E
2N7002KT,library:SOT-523
PMXB56EN,DFN1010D-3:DFN1010D-3_SOT1215_NEX
2N7002KT,Package_TO_SOT_SMD:SOT-523
MMDT3906DW,Package_TO_SOT_SMD:SOT-363_SC-70-6
BC2301T 2.8A,library:SOT-523
10R,Resistor_SMD:R_0402_1005Metric
1K,Resistor_SMD:R_0402_1005Metric
110K,Resistor_SMD:R_0402_1005Metric
100K,Resistor_SMD:R_0402_1005Metric
10K,Resistor_SMD:R_0402_1005Metric
470K,Resistor_SMD:R_0402_1005Metric
120R 0.5W,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
27R,Resistor_SMD:R_0402_1005Metric
100R,Resistor_SMD:R_0402_1005Metric
3.3k,Resistor_SMD:R_0402_1005Metric
18k,Resistor_SMD:R_0402_1005Metric
180k,Resistor_SMD:R_0402_1005Metric
10K,Resistor_SMD:R_0402_1005Metric
5.1K,Resistor_SMD:R_0402_1005Metric
100k,Resistor_SMD:R_0402_1005Metric
5.1K,Resistor_SMD:R_0402_1005Metric
33R,Resistor_SMD:R_0805_2012Metric
102K,Resistor_SMD:R_0402_1005Metric
133K,Resistor_SMD:R_0402_1005Metric
33K,Resistor_SMD:R_0402_1005Metric
0R2,Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder
200R,Resistor_SMD:R_0402_1005Metric
100K,Resistor_SMD:R_Array_Convex_4x0402
10K,Resistor_SMD:R_Array_Convex_4x0402
4.7K,Resistor_SMD:R_Array_Convex_4x0402
2.2K,Resistor_SMD:R_Array_Convex_4x0402
1M,Resistor_SMD:R_Array_Convex_4x0402
120R,Resistor_SMD:R_Array_Convex_4x0402
TS3425BA 098 2.5H 250gf,Button_Switch_SMD:SW_SPST_PTS810
TS3315A 250gf 025,dp-switch:GT-TC026X-HXXX-LX
RP2350B,qfn80:qfn80
AiP74LVC8T245QE24.TR,manuf:NXP-DHVQFN24
XL9555QF24,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm
GS358-FR,Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm
TCA6416ARTWR,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm
APS6404L-3SQR-ZR,library:USON-8-3x2mm_P0.5mm_EPthin
SP3002-04JTG,Package_TO_SOT_SMD:SOT-363_SC-70-6
TLV75801PDRV,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm
74LVC2G14,Package_TO_SOT_SMD:SOT-363_SC-70-6
W25Q128JVSIQ,Package_SO:SOP-8_5.28x5.23mm_P1.27mm
MT29F2G01ABAGDWB-IT:G,dp-memory:U-PDFN-8
LM393BIDSGR,Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm
AiP74LVC1T45GC363.TR,Package_TO_SOT_SMD:SOT-363_SC-70-6
ME6211A33PG-N,Package_TO_SOT_SMD:SOT-89-3
CD4067,Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm
AP2127K-ADJ,Package_TO_SOT_SMD:SOT-23-5
74HCT245BQ,Package_DFN_QFN:DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm
GS321A-TR,Package_TO_SOT_SMD:SOT-23-5
GSV331-TR,Package_TO_SOT_SMD:SOT-23-5
ABM8-272-T3,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm
