"Source:","C:\BP5hw\bus_pirate_pcb\development\7-REV2-vout-protection\7-REV2-vout-protection.kicad_sch"
"Date:","2025-07-04T16:16:52+0200"
"Tool:","Eeschema 9.0.1"
"Generator:","C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","264"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Datasheet","Description","Description_1","Field4","Field5","Field6","Footprint","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","RMB","STANDARD","Sim.Device","Sim.Pins","SnapEDA_Link","Supplier","USD","szlcsc_partnumber","szlcsc_url"
"1","68","C1, C2, C3, C5, C7, C8, C9, C14, C15, C16, C17, C20, C22, C28, C32, C110, C111, C112, C113, C114, C115, C116, C117, C118, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C403, C415, C416, C503, C507, C508, C509, C510, C602, C605, C701, C702, C703, C704, C705, C706, C707, C708, C710, C712, C713, C714, C715, C716, C717, C718, C719, C720","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","~","Unpolarized capacitor, small symbol","","","","","Capacitor_SMD:C_0402_1005Metric","","","","","","","","0.00628","","","","","https://item.szlcsc.com/1877.html","","C1525","https://item.szlcsc.com/1877.html?fromZone=s_s__%25220.1uF%25200402%2522&spm=sc.gb.xh2.zy.n&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlBUQ1ZeVzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"2","20","C4, C6, C10, C11, C18, C19, C23, C24, C29, C36, C104, C109, C201, C202, C401, C402, C404, C407, C413, C601","10uF/6.3V","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","~","CL05A106MQ5NUNC","","","","","Capacitor_SMD:C_0402_1005Metric","Samsung","","","","","","","0.022142","","","","","https://item.szlcsc.com/306263.html","","C15525","https://item.szlcsc.com/16204.html?fromZone=s_s__%2522CL05A106MQ5NUNC%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlxWQ1hXUDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"3","2","C12, C408","120pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","~","Unpolarized capacitor, small symbol","","","","","Capacitor_SMD:C_0402_1005Metric","","","","","","","","0.037726","","","","","https://item.szlcsc.com/1877.html","","C307442","https://item.szlcsc.com/291116.html?fromZone=s_s__%2522120pf%25200402%2522&spm=sc.gb.xh8.zy.n&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlFXQlZXVzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"4","6","C25, C27, C30, C31, C33, C35","10uF/6.3v","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","~","CL05A106MQ5NUN","","","","","Capacitor_SMD:C_0402_1005Metric","Samsung","","","","","","","0.037726","","","","","https://item.szlcsc.com/1877.html","","",""
"5","1","C26","120pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","~","Unpolarized capacitor","","","","","Capacitor_SMD:C_0402_1005Metric","","","","","","","","","","","","","","","",""
"6","1","C34","10uF/16v","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","~","CL21B106KOQNNNE","","","","","Capacitor_SMD:C_0805_2012Metric","Samsung","","","","","","","0.037726","","","","","https://item.szlcsc.com/1877.html","","",""
"7","2","C105, C106","15pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","~","Unpolarized capacitor, small symbol","","","","","Capacitor_SMD:C_0402_1005Metric","","","","","","","","0.022142","","","","","https://item.szlcsc.com/306263.html","","C86285","https://item.szlcsc.com/87461.html?fromZone=s_s__%252215pf%25200402%2522&spm=sc.gb.xh5.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlFXQlZXVzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"8","9","D1, D2, D3, D4, D5, D6, D7, D8, D9","BAS40-04","Diode:BAS40-04","library:SOT-523","http://www.vishay.com/docs/85701/bas40v.pdf","","","","http://www.vishay.com/docs/85701/bas40v.pdf","40V 0.2A Dual Small Signal Schottky Diodes","","","","","library:SOT-523","","","","","","","","","","","","","","","C21714097","https://item.szlcsc.com/23141008.html?fromZone=s_s__%2522BAS40-04%25200402%2522&spm=sc.gb.xh2.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlBUQ1ZeVzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"9","1","D11","SMF24CA","Diode:SMAJ5.0CA","Diode_SMD:D_SMF","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","","","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","400W bidirectional Transient Voltage Suppressor, 5.0Vr, SMA(DO-214AC)","","","","","Diode_SMD:D_SMF","","","","","","","","","","","","","","","",""
"10","1","D12","SMF5.0A","Diode:SMAJ5.0A","Diode_SMD:D_SMF","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","","","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","400W unidirectional Transient Voltage Suppressor, 5.0Vr, SMA(DO-214AC)","","","","","Diode_SMD:D_SMF","","","","","","","","","","","","","","","",""
"11","1","D13","PESD12VV1BL","Device:D_TVS","Diode_SMD:D_SOD-882D","~","","","","~","Bidirectional transient-voltage-suppression diode","","","","","Diode_SMD:D_SOD-882D","Nexperia","","","","","","","","","","","","","","",""
"12","3","D14, D15, D16","BAS40-04","Diode:BAS40-04","Package_TO_SOT_SMD:SOT-523","http://www.vishay.com/docs/85701/bas40v.pdf","","","","http://www.vishay.com/docs/85701/bas40v.pdf","40V 0.2A Dual Small Signal Schottky Diodes","","","","","Package_TO_SOT_SMD:SOT-523","","","","","","","","","","","","","","","",""
"13","3","D18, D602, D603","1N4148WT","Diode:1N4148WS","Diode_SMD:D_SOD-523","https://www.vishay.com/docs/85751/1n4148ws.pdf","","","","https://www.vishay.com/docs/85751/1n4148ws.pdf","75V 0.15A Fast switching Diode, SOD-323","","","","","Diode_SMD:D_SOD-523","","","","","","","","0.182079","","D","1=K 2=A","","https://item.szlcsc.com/120141.html","","C2828426","https://item.szlcsc.com/2976401.html?fromZone=s_s__%25221N4148WT%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlBUQ1ZeVzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"14","1","J201","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","~","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","","","","","","","","","","","","","","",""
"15","1","J202","TYPE-C-31-M-12",":TYPE-C-31-M-12_2","usb-c:HRO_TYPE-C-31-M-12","HRO Electronics","","","","HRO Electronics","","","3.31mm","A","Manufacturer Recommendations","usb-c:HRO_TYPE-C-31-M-12","","","","","","","","","","","","","","","",""
"16","1","J301","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","","","","~","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","","","","","","","","","","","","","","","",""
"17","1","J302","Conn_01x09","Connector_Generic:Conn_01x09","Connector_JST:JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal","~","","","","~","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","Connector_JST:JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal","","","","","","","","","","","","","","","",""
"18","1","L201","CBW201209U300T","kicad5-device:Ferrite_Bead_Small","Inductor_SMD:L_0805_2012Metric","~","","","","~","Ferrite bead, small symbol","","","","","Inductor_SMD:L_0805_2012Metric","","","","","","","","0.175802	0.175802","","","","","https://item.szlcsc.com/263551.html","","C139190","https://item.szlcsc.com/150511.html?fromZone=s_s__%2522CBW201209U300T%2522&spm=sc.gb.xh1.zy.n&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlxWQ1hXUDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"19","1","LCD201","TFT_20_QT200H1201","dp-lcd:TFT_20_QT200H1201","dp-lcd:TFT_20_QT200H1201","","","","","","","","","","","dp-lcd:TFT_20_QT200H1201","","","","","","","","","","","","","","","",""
"20","8","LED701, LED704, LED707, LED708, LED712, LED716, LED717, LED720","SK6812-side-a_b","dp-LED:SK6812-side-a_b","dp-LED:SK6812-side-a_b","","","","","","","","","","","dp-LED:SK6812-side-a_b","","","","","","","","","","","","","","","",""
"21","10","LED702, LED703, LED705, LED706, LED710, LED713, LED714, LED715, LED718, LED719","SK6812-mini-e","dp-LED:SK6812-mini-e","dp-LED:SK6812-MINI-E","","","","","","","","","","","dp-LED:SK6812-MINI-E","","","","","","","","0.5296","","","","","https://item.szlcsc.com/542109.html","","",""
