Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF/CL21A226MAYNNNE","C_0805_2012Metric",114.250000,-106.250000,-90.000000,top
"C2","47uF/CL21A226MAYNNNE","C_0805_2012Metric",126.000000,-92.500000,90.000000,top
"C3","47uF/CL21A226MAYNNNE","C_0805_2012Metric",116.000000,-88.000000,90.000000,top
"D2","LED","LED_0805_2012Metric",137.500000,-80.750000,-90.000000,top
"D401","1N4148WT","D_SOD-523",119.250000,-91.500000,0.000000,top
"J1","Mini-DIN-6","Connector_Mini-DIN_Female_6Pin_2rows",126.560000,-116.775000,0.000000,top
"J2","Conn_01x10","PinSocket_1x10_P2.54mm_Horizontal",101.400000,-86.050000,0.000000,top
"J4","Mini-DIN-6","Connector_Mini-DIN_Female_6Pin_2rows",109.560000,-116.775000,0.000000,top
"J5","USB_A","USB_A_CONNFLY_DS1095-WNR0",128.750000,-84.477500,180.000000,top
"J7","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",108.500000,-73.887500,180.000000,top
"J8","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",137.250000,-107.225000,0.000000,top
"J9","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",137.250000,-86.975000,0.000000,top
"L1","CBW201209U300T","L_0805_2012Metric",113.750000,-88.000000,90.000000,top
"L2","CBW201209U300T","L_0805_2012Metric",128.000000,-92.500000,90.000000,top
"L4","CBW201209U300T","L_0805_2012Metric",116.500000,-106.250000,90.000000,top
"L5","CBW201209U300T","L_0805_2012Metric",112.250000,-106.250000,90.000000,top
"Q401","BCM857BS-7-F","SOT-363_SC-70-6",119.250000,-94.000000,180.000000,top
"Q402","BC2301T 2.8A","SOT-523",119.250000,-97.000000,180.000000,top
"R1","5.1K","R_0805_2012Metric",101.750000,-74.500000,-90.000000,top
"R2","2K","R_0805_2012Metric",130.000000,-92.500000,90.000000,top
"R3","2K","R_0805_2012Metric",130.000000,-106.250000,90.000000,top
"R5","5.1K","R_0805_2012Metric",101.750000,-79.750000,90.000000,top
"R408","68K","R_0805_2012Metric",116.000000,-92.500000,90.000000,top
"R410","10K","R_0805_2012Metric",122.250000,-92.500000,90.000000,top
"R412","100K","R_0805_2012Metric",116.000000,-96.250000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",137.000000,-97.500000,90.000000,top
