"Source:","C:\BP5hw\development\adapter-kaybee-plank-1REV1\kaybee-plank.kicad_sch"
"Date:","2025-06-17T12:05:02+0200"
"Tool:","Eeschema 9.0.1"
"Generator:","C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","26"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Datasheet","Description","Field4","Field5","Field6","Footprint","RMB","Sim.Device","Sim.Pins","Supplier","szlcsc_partnum","szlcsc_partnumber","szlcsc_url"
"1","3","C1, C2, C3","47uF/CL21A226MAYNNNE","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","~","Unpolarized capacitor","","","","Capacitor_SMD:C_0805_2012Metric","","","","","C602037","",""
"2","1","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","~","Light emitting diode","","","","LED_SMD:LED_0805_2012Metric","","","","","","",""
"3","1","D401","1N4148WT","Diode:1N4148WS","Diode_SMD:D_SOD-523","https://www.vishay.com/docs/85751/1n4148ws.pdf","","https://www.vishay.com/docs/85751/1n4148ws.pdf","75V 0.15A Fast switching Diode, SOD-323","","","","Diode_SMD:D_SOD-523","0.182079","D","1=K 2=A","https://item.szlcsc.com/120141.html","C2828426","C2828426","https://item.szlcsc.com/2976401.html?fromZone=s_s__%25221N4148WT%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlBUQ1ZeVzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"4","2","J1, J4","Mini-DIN-6","Connector:Mini-DIN-6","connector-mini-din-6:Connector_Mini-DIN_Female_6Pin_2rows","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf","","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf","6-pin Mini-DIN connector","","","","connector-mini-din-6:Connector_Mini-DIN_Female_6Pin_2rows","","","","","C77848","",""
"5","1","J2","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal","~","","~","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal","","","","","","",""
"6","1","J5","USB_A","Connector:USB_A","Connector_USB:USB_A_CONNFLY_DS1095-WNR0","~","","~","USB Type A connector","","","","Connector_USB:USB_A_CONNFLY_DS1095-WNR0","","","","","C456018","",""
"7","1","J7","TYPE-C-31-M-12",":TYPE-C-31-M-12_2","TYPE-C-31-M-12:HRO_TYPE-C-31-M-12","HRO Electronics","","HRO Electronics","","3.31mm","A","Manufacturer Recommendations","TYPE-C-31-M-12:HRO_TYPE-C-31-M-12","","","","","C2858270","",""
"8","2","J8, J9","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","~","Generic connector, single row, 01x02, script generated","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","C2905434","",""
"9","4","L1, L2, L4, L5","CBW201209U300T","kicad5-device:Ferrite_Bead_Small","Inductor_SMD:L_0805_2012Metric","~","","~","Ferrite bead, small symbol","","","","Inductor_SMD:L_0805_2012Metric","0.175802	0.175802","","","https://item.szlcsc.com/263551.html","C139190","",""
"10","1","Q401","BCM857BS-7-F","kicad5-device:Q_DUAL_PNP_PNP_E1B1C2E2B2C1","Package_TO_SOT_SMD:SOT-363_SC-70-6","~","","~","Dual PNP transistor, 6 pin package","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","","","","","C105896","C105896","https://item.szlcsc.com/107111.html"
"11","1","Q402","BC2301T 2.8A","Transistor_FET:BSS84","Package_TO_SOT_SMD:SOT-523","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","-0.13A Id, -50V Vds, P-Channel MOSFET, SOT-23","","","","Package_TO_SOT_SMD:SOT-523","0.232494","","","https://item.szlcsc.com/76686.html","C21714127","C21714127","https://item.szlcsc.com/23141038.html?fromZone=s_s__%2522BC2301T%25202.8A%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlxWQ1hXUDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"12","2","R1, R5","5.1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","~","Resistor, small symbol","","","","Resistor_SMD:R_0805_2012Metric","0.0065","","","https://item.szlcsc.com/107087.html","C27834","",""
"13","2","R2, R3","2K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","~","Resistor","","","","Resistor_SMD:R_0805_2012Metric","","","","","C2907315","",""
"14","1","R408","68K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","~","Resistor, small symbol","","","","Resistor_SMD:R_0805_2012Metric","0.005541","","","https://item.szlcsc.com/141563.html","C17801","C25779","https://item.szlcsc.com/26522.html?fromZone=s_s__%252233K%25200402%2522&spm=sc.gb.xh2.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"15","1","R410","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","~","Resistor, small symbol","","","","Resistor_SMD:R_0805_2012Metric","0.005541","","","https://item.szlcsc.com/141563.html","C17414","C25744","https://item.szlcsc.com/26487.html?fromZone=s_s__%252210K%25200402%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"16","1","R412","100K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","~","Resistor, small symbol","","","","Resistor_SMD:R_0805_2012Metric","0.005749","","","https://item.szlcsc.com/61543.html","C149504","C25741","https://item.szlcsc.com/26484.html?fromZone=s_s__%2522100K%25200402%2522&spm=sc.gb.xh1.zy.n&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"17","1","SW1","SW_SPDT","Switch:SW_SPDT","Button_Switch_SMD:SW_SPDT_PCM12","~","","~","Switch, single pole double throw","","","","Button_Switch_SMD:SW_SPDT_PCM12","","","","","C431540","",""
