Ref,Val,Package,PosX,PosY,Rot,Side
C4,10uF/6.3V,C_0805_2012Metric,123.25,-26,-90,top
C5,10uF/6.3V,C_0805_2012Metric,129.75,-26,-90,top
D2,LED,LED_0805_2012Metric,116.75,-67.75,-90,top
D3,LED,LED_0805_2012Metric,116.75,-60.75,90,top
J1,DDR504111002KQ,AMPHENOL_DDR504111002KQ,135.75,-97.5,-90,top
J2,Conn_01x10,PinSocket_1x10_P2.54mm_RA,116.4,-31.3,0,top
J4,10160554-001SHLF,AMPHENOL_10160554-001SHLF,122,-119.25,-90,top
Q1,2N7002,SOT-23,129,-35.25,90,top
Q2,2N7002,SOT-23,129,-44,90,top
Q5,BC807,SOT-23,129,-58.75,-90,top
Q6,BC817,SOT-23,129,-63,-90,top
R2,6.8K,R_0805_2012Metric,122.25,-68.5,180,top
R3,2K,R_0805_2012Metric,129,-32,0,top
R4,2K,R_0805_2012Metric,129,-40.75,0,top
R6,2K,R_0805_2012Metric,129,-38.5,180,top
R7,2K,R_0805_2012Metric,129,-47.25,180,top
R8,1K,R_0805_2012Metric,129,-66.25,0,top
R10,680R,R_0805_2012Metric,129,-55.5,0,top
R11,330R,R_0805_2012Metric,129,-53.25,180,top
R12,6.8K,R_0805_2012Metric,122.25,-59.5,180,top
R13,6.8K,R_0805_2012Metric,122.25,-62,0,top
U2,ME6206A33XG,SOT-23,126.5,-26,180,top
