Ref,Val,Package,PosX,PosY,Rot,Side
"C4","10uF/6.3V","C_0805_2012Metric",123.250000,-26.000000,-90.000000,top
"C5","10uF/6.3V","C_0805_2012Metric",129.750000,-26.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",117.000000,-60.750000,-90.000000,top
"D3","LED","LED_0805_2012Metric",117.000000,-67.750000,90.000000,top
"J1","DDR504111002KQ","DDR5 UDIMM GENERIC",135.750000,-97.500000,-90.000000,top
"J2","Conn_01x10","PinSocket_1x10_P2.54mm_Horizontal",116.400000,-31.300000,0.000000,top
"J4","10160554-001SHLF","AMPHENOL_10160554-001SHLF",122.000000,-119.250000,-90.000000,top
"Q1","BSS138","SOT-23",129.000000,-35.250000,90.000000,top
"Q2","BSS138","SOT-23",129.000000,-44.000000,90.000000,top
"Q5","BC807","SOT-23",129.000000,-58.750000,-90.000000,top
"Q6","BC817","SOT-23",129.000000,-63.000000,-90.000000,top
"R2","6.8K","R_0805_2012Metric",122.500000,-61.500000,180.000000,top
"R3","10K","R_0805_2012Metric",129.000000,-32.000000,0.000000,top
"R4","10K","R_0805_2012Metric",129.000000,-40.750000,0.000000,top
"R6","10K","R_0805_2012Metric",129.000000,-38.500000,180.000000,top
"R7","10K","R_0805_2012Metric",129.000000,-47.250000,180.000000,top
"R8","1K","R_0805_2012Metric",129.000000,-66.250000,0.000000,top
"R10","680R","R_0805_2012Metric",129.000000,-55.500000,0.000000,top
"R11","330R","R_0805_2012Metric",129.000000,-53.250000,180.000000,top
"R12","6.8K","R_0805_2012Metric",122.500000,-66.500000,180.000000,top
"R13","6.8K","R_0805_2012Metric",122.500000,-69.000000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",126.500000,-26.000000,180.000000,top
