Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",154.250000,-83.500000,180.000000,top
"C2","0.1uF","C_0805_2012Metric",154.250000,-101.250000,180.000000,top
"D1","LED","LED_0805_2012Metric",154.250000,-69.500000,180.000000,top
"J1","Conn_01x10","PinSocket_1x10_P2.54mm_Horizontal",138.437442,-75.405607,0.000000,top
"J2","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",142.240000,-75.443000,0.000000,top
"R1","2K","R_0805_2012Metric",149.750000,-69.500000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",142.240000,-70.104000,180.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",142.240000,-103.632000,0.000000,top
"U1","25LCxxx","ASPI0001-P001A",153.250000,-77.250000,0.000000,top
"U2","25LCxxx","ACA-SPI-004-K01",153.250000,-94.000000,0.000000,top
