"Source:","C:\Users\ian\Downloads\kaybee-plank-14042025\kaybee-plank.kicad_sch"
"Date:","2025-04-15T17:41:54+0200"
"Tool:","Eeschema 8.0.7"
"Generator:","C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","20"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Datasheet","Description","Field4","Field5","Field6","Footprint","RMB","Supplier"
"1","3","C1, C2, C3","47uF/CL21A226MAYNNNE","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","~","Unpolarized capacitor","","","","Capacitor_SMD:C_0805_2012Metric","",""
"2","1","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","~","Light emitting diode","","","","LED_SMD:LED_0805_2012Metric","",""
"3","2","J1, J4","Mini-DIN-6","Connector:Mini-DIN-6","connector-mini-din-6:Connector_Mini-DIN_Female_6Pin_2rows","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf","","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf","6-pin Mini-DIN connector","","","","connector-mini-din-6:Connector_Mini-DIN_Female_6Pin_2rows","",""
"4","1","J2","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal","~","","~","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal","",""
"5","1","J3","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","","~","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","",""
"6","1","J5","USB_A","Connector:USB_A","Connector_USB:USB_A_CONNFLY_DS1095-WNR0","~","","~","USB Type A connector","","","","Connector_USB:USB_A_CONNFLY_DS1095-WNR0","",""
"7","1","J7","TYPE-C-31-M-12",":TYPE-C-31-M-12_2","TYPE-C-31-M-12:HRO_TYPE-C-31-M-12","HRO Electronics","","HRO Electronics","","3.31mm","A","Manufacturer Recommendations","TYPE-C-31-M-12:HRO_TYPE-C-31-M-12","",""
"8","1","J8","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","~","Generic connector, single row, 01x02, script generated","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","",""
"9","4","L1, L2, L4, L5","CBW201209U300T","kicad5-device:Ferrite_Bead_Small","Inductor_SMD:L_0805_2012Metric","~","","~","Ferrite bead, small symbol","","","","Inductor_SMD:L_0805_2012Metric","0.175802	0.175802","https://item.szlcsc.com/263551.html"
"10","2","R1, R5","5.1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","~","Resistor, small symbol","","","","Resistor_SMD:R_0805_2012Metric","0.0065","https://item.szlcsc.com/107087.html"
"11","2","R2, R3","2K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","~","Resistor","","","","Resistor_SMD:R_0805_2012Metric","",""
"12","1","SW1","SW_SPDT","Switch:SW_SPDT","Button_Switch_SMD:SW_SPDT_PCM12","~","","~","Switch, single pole double throw","","","","Button_Switch_SMD:SW_SPDT_PCM12","",""
