Ref,Val,Package,PosX,PosY,Rot,Side
"J301","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",18.820000,12.880000,-90.000000,bottom
"LCD201","TFT_20_QT200H1201","TFT_20_QT200H1201",30.250000,35.000000,-90.000000,bottom
"SW102","4P_button_sw","GT-TC026X-HXXX-LX",30.250000,58.100000,90.000000,bottom
"logo1","fcc_logo","logo_fcc",18.000000,56.900000,180.000000,bottom
"C1","0.1uF","C_0402_1005Metric",32.600000,46.600000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",24.100000,38.600000,180.000000,top
"C3","0.1uF","C_0402_1005Metric",27.350000,29.400000,180.000000,top
"C4","2.2uF","C_0402_1005Metric",36.600000,46.600000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",39.100000,35.100000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",27.350000,32.700000,180.000000,top
"C9","0.1uF","C_0402_1005Metric",27.350000,27.850000,0.000000,top
"C10","4.7uF","C_0402_1005Metric",40.850000,51.600000,-90.000000,top
"C11","4.7uF","C_0402_1005Metric",40.850000,49.600000,90.000000,top
"C103","0.1uF","C_0402_1005Metric",31.600000,51.200000,-90.000000,top
"C104","2.2uF","C_0402_1005Metric",32.600000,51.200000,-90.000000,top
"C105","15pF","C_0402_1005Metric",31.350000,31.600000,-90.000000,top
"C106","15pF","C_0402_1005Metric",32.600000,31.600000,90.000000,top
"C109","2.2uF","C_0402_1005Metric",39.100000,42.350000,0.000000,top
"C110","0.1uF","C_0402_1005Metric",24.100000,37.350000,180.000000,top
"C111","0.1uF","C_0402_1005Metric",39.120000,38.350000,0.000000,top
"C112","0.1uF","C_0402_1005Metric",39.100000,44.350000,0.000000,top
"C113","0.1uF","C_0402_1005Metric",26.950000,45.900000,180.000000,top
"C114","0.1uF","C_0402_1005Metric",31.600000,46.600000,90.000000,top
"C115","0.1uF","C_0402_1005Metric",30.100000,31.600000,-90.000000,top
"C116","0.1uF","C_0402_1005Metric",24.100000,42.100000,180.000000,top
"C117","0.1uF","C_0402_1005Metric",33.600000,31.600000,-90.000000,top
"C118","0.1uF","C_0402_1005Metric",39.100000,39.350000,0.000000,top
"C121","0.1uF","C_0402_1005Metric",45.600284,32.286337,0.000000,top
"C201","4.7uF","C_0402_1005Metric",38.700000,56.000000,-90.000000,top
"C202","4.7uF","C_0402_1005Metric",37.300000,56.000000,-90.000000,top
"C301","0.1uF","C_0402_1005Metric",6.850000,24.350000,0.000000,top
"C302","0.1uF","C_0402_1005Metric",10.100000,24.350000,0.000000,top
"C303","0.1uF","C_0402_1005Metric",13.100000,24.350000,0.000000,top
"C304","0.1uF","C_0402_1005Metric",7.380000,19.400000,-90.000000,top
"C305","0.1uF","C_0402_1005Metric",10.530000,19.400000,-90.000000,top
"C306","0.1uF","C_0402_1005Metric",13.580000,19.300000,-90.000000,top
"C307","0.1uF","C_0402_1005Metric",16.100000,24.350000,0.000000,top
"C308","0.1uF","C_0402_1005Metric",45.880000,24.800000,-90.000000,top
"C309","0.1uF","C_0402_1005Metric",48.780000,24.850000,-90.000000,top
"C310","0.1uF","C_0402_1005Metric",15.350000,19.750000,180.000000,top
"C311","0.1uF","C_0402_1005Metric",45.350000,19.200000,180.000000,top
