"Source:"	"C:\Users\vtroc\Desktop\BusPirate-temp\BusPirate-5-rev8_20230911c\BusPirate-5-rev8.sch"
"Date:"	"12 Sep 2023 5:06:30 pm"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"203"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C101"	"4.7uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C102"	"4.7uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C103"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C104"	"2.2uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C105"	"15pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C106"	"15pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C107"	"2.2uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C108"	"2.2uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C109"	"2.2uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C110"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C111"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C112"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C113"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C114"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C115"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C116"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C117"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C118"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C201"	"4.7uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C202"	"4.7uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C301"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C302"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C303"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C304"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C305"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C306"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C307"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C308"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C309"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C310"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C311"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C312"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C313"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C314"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C315"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C316"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C317"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C318"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C401"	"4.7uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
