Ref,Val,Package,PosX,PosY,Rot,Side
C1,0.1uF,C_0805_2012Metric,116.75,-94.75,90,top
C2,0.1uF,C_0805_2012Metric,128.25,-94.75,90,top
C3,0.47uF,C_0805_2012Metric,130.5,-94.75,90,top
C4,0.47uF,C_0805_2012Metric,128.25,-91.25,90,top
C5,0.47uF,C_0805_2012Metric,128.25,-87.75,90,top
C6,0.1uF,C_0805_2012Metric,128.25,-106.5,90,top
C7,0.1uF,C_0805_2012Metric,116.75,-106.5,90,top
C8,0.47uF,C_0805_2012Metric,128.25,-103,90,top
C9,0.47uF,C_0805_2012Metric,130.5,-106.5,90,top
C10,0.47uF,C_0805_2012Metric,128.25,-99.5,90,top
D2,LED,LED_0805_2012Metric,101.5,-76.25,-90,top
J1,COM1,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,128.8,-82.580331,180,top
J2,COM2,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,128.8,-112.319669,0,top
J3,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,105,-86.075,0,top
J4,Conn_01x10,PinSocket_1x10_P2.54mm_Horizontal,101.4,-86.05,0,top
R2,2K,R_0805_2012Metric,101.5,-81.75,90,top
U1,MAX3232,SOP-16_3.9x9.9mm_P1.27mm,122.5,-91.25,180,top
U2,MAX3232,SOP-16_3.9x9.9mm_P1.27mm,122.5,-103,180,top
